Frequency,Channel A,Channel B
(ms),(V),(V)

2.51999994,0.69337480,1.81840600
2.53999994,0.68550070,1.73935800
2.55999994,0.68550070,1.73935800
2.57999993,0.68550070,1.73935800
2.59999993,0.67762670,1.66031000
2.61999993,0.67762670,1.66031000
2.63999993,0.67762670,1.58126200
2.65999993,0.66975270,1.58126200
2.67999993,0.66975270,1.50221500
2.69999993,0.66975270,1.50221500
2.71999993,0.66975270,1.50221500
2.73999993,0.66187860,1.42285900
2.75999993,0.66975270,1.34381200
2.77999993,0.66187860,1.34381200
2.79999993,0.66187860,1.26476400
2.81999993,0.65397390,1.26476400
2.83999993,0.65397390,1.18571600
2.85999993,0.64609990,1.18571600
2.87999993,0.64609990,1.18571600
2.89999993,0.64609990,1.10666800
2.91999993,0.64609990,1.02762100
2.93999993,0.64609990,1.02762100
2.95999993,0.63822590,1.02762100
2.97999992,0.63822590,0.94857280
2.99999992,0.63035190,0.94857280
3.01999992,0.63035190,0.86952510
3.03999992,0.63035190,0.86952510
3.05999992,0.62247790,0.86952510
3.07999992,0.62247790,0.79047740
3.09999992,0.62247790,0.79047740
3.11999992,0.61460380,0.79047740
3.13999992,0.61460380,0.71142970
3.15999992,0.60669900,0.71142970
3.17999992,0.60669900,0.63238190
3.19999992,0.59882500,0.71142970
3.21999992,0.59882500,0.63238190
3.23999992,0.59095100,0.63238190
3.25999992,0.59095100,0.55333420
3.27999992,0.58307700,0.55333420
3.29999992,0.57520300,0.47428640
3.31999992,0.57520300,0.47428640
3.33999992,0.56729820,0.47428640
3.35999992,0.56729820,0.39523870
3.37999991,0.55942420,0.39523870
3.39999991,0.55155020,0.39523870
3.41999991,0.54367610,0.31619100
3.43999991,0.54367610,0.31619100
3.45999991,0.53580220,0.31619100
3.47999991,0.52792810,0.23714320
3.49999991,0.52792810,0.23714320
3.51999991,0.52002330,0.23714320
3.53999991,0.51214940,0.15809550
3.55999991,0.50427530,0.15809550
3.57999991,0.49640130,0.15809550
3.59999991,0.48852730,0.15809550
3.61999991,0.48062250,0.07904774
3.63999991,0.47274850,0.07904774
3.65999991,0.46487450,0.00000000
3.67999991,0.45700050,0.07904774
3.69999991,0.44912650,0.00000000
3.71999991,0.44125250,0.00000000
3.73999991,0.43334770,0.00000000
3.75999991,0.42547370,-0.07904774
3.77999990,0.41759960,-0.07904774
3.79999990,0.40972560,-0.15809550
3.81999990,0.40185160,-0.15809550
3.83999990,0.38607280,-0.15809550
3.85999990,0.37819880,-0.15809550
3.87999990,0.37032480,-0.15809550
3.89999990,0.36245080,-0.23714320
3.91999990,0.35457680,-0.23714320
3.93999990,0.33879800,-0.23714320
3.95999990,0.33092400,-0.23714320
3.97999990,0.31517600,-0.23714320
3.99999990,0.30730190,-0.39523870
4.01999990,0.29939710,-0.31619100
4.03999990,0.29152310,-0.31619100
4.05999990,0.27577510,-0.39523870
4.07999990,0.26790110,-0.39523870
4.09999990,0.25999630,-0.39523870
4.11999990,0.24424830,-0.39523870
4.13999990,0.22850020,-0.47428640
4.15999989,0.22062620,-0.47428640
4.17999989,0.20484740,-0.47428640
4.19999989,0.19697340,-0.55333420
4.21999989,0.18122540,-0.55333420
4.23999989,0.16544660,-0.55333420
4.25999989,0.15757260,-0.55333420
4.27999989,0.14182460,-0.63238190
4.29999989,0.13395050,-0.63238190
4.31999989,0.11817180,-0.63238190
4.33999989,0.11029770,-0.71142970
4.35999989,0.10242370,-0.71142970
4.37999989,0.07877092,-0.71142970
4.39999989,0.07089690,-0.71142970
4.41999989,0.06302288,-0.79047740
4.43999989,0.04727485,-0.79047740
4.45999989,0.03149606,-0.86952510
4.47999989,0.01574803,-0.86952510
4.49999989,0.00000000,-0.86952510
4.51999989,-0.00787402,-0.94857280
4.53999989,-0.02362205,-0.94857280
4.55999988,-0.03149606,-0.94857280
4.57999988,-0.04727485,-0.94857280
4.59999988,-0.06302288,-1.02762100
4.61999988,-0.07877092,-1.02762100
4.63999988,-0.08664493,-1.02762100
4.65999988,-0.10242370,-1.02762100
4.67999988,-0.11817180,-1.10666800
4.69999988,-0.13395050,-1.10666800
4.71999988,-0.14969860,-1.18571600
4.73999988,-0.16544660,-1.18571600
4.75999988,-0.17332060,-1.18571600
4.77999988,-0.18909940,-1.26476400
4.79999988,-0.20484740,-1.26476400
4.81999988,-0.22062620,-1.34381200
4.83999988,-0.22850020,-1.34381200
4.85999988,-0.24424830,-1.34381200
4.87999988,-0.25212230,-1.34381200
4.89999988,-0.27577510,-1.42285900
4.91999988,-0.28364910,-1.50221500
4.93999988,-0.29152310,-1.50221500
4.95999987,-0.30730190,-1.58126200
4.97999987,-0.32305000,-1.58126200
4.99999987,-0.33092400,-1.66031000
5.01999987,-0.33879800,-1.66031000
5.03999987,-0.34667200,-1.73935800
5.05999987,-0.35457680,-1.81840600
5.07999987,-0.36245080,-1.81840600
5.09999987,-0.37032480,-1.89745300
5.11999987,-0.37819880,-1.97650100
5.13999987,-0.38607280,-2.05554900
5.15999987,-0.38607280,-2.05554900
5.17999987,-0.39394680,-2.13459600
5.19999987,-0.39394680,-2.21364400
5.21999987,-0.40185160,-2.29269200
5.23999987,-0.40185160,-2.37174000
5.25999987,-0.40972560,-2.45078800
5.27999987,-0.40972560,-2.45078800
5.29999987,-0.41759960,-2.52983500
5.31999987,-0.41759960,-2.60888300
5.33999987,-0.41759960,-2.68793100
5.35999986,-0.42547370,-2.68793100
5.37999986,-0.43334770,-2.76697900
5.39999986,-0.43334770,-2.84602600
5.41999986,-0.43334770,-2.92538100
5.43999986,-0.44125250,-2.92538100
5.45999986,-0.43334770,-2.92538100
5.47999986,-0.44125250,-3.00442900
5.49999986,-0.44912650,-3.08347700
5.51999986,-0.44912650,-3.08347700
5.53999986,-0.44912650,-3.16252500
5.55999986,-0.44912650,-3.16252500
5.57999986,-0.45700050,-3.24157200
5.59999986,-0.45700050,-3.32062000
5.61999986,-0.45700050,-3.32062000
5.63999986,-0.45700050,-3.39966800
5.65999986,-0.45700050,-3.39966800
5.67999986,-0.46487450,-3.39966800
5.69999986,-0.46487450,-3.47871500
5.71999986,-0.46487450,-3.55776300
5.73999985,-0.46487450,-3.55776300
5.75999985,-0.46487450,-3.63681100
5.77999985,-0.47274850,-3.63681100
5.79999985,-0.47274850,-3.71585900
5.81999985,-0.47274850,-3.71585900
5.83999985,-0.47274850,-3.79490600
5.85999985,-0.48062250,-3.79490600
5.87999985,-0.48062250,-3.79490600
5.89999985,-0.48062250,-3.87395400
5.91999985,-0.48062250,-3.87395400
5.93999985,-0.48852730,-3.95300200
5.95999985,-0.48062250,-3.95300200
5.97999985,-0.48062250,-4.03205000
5.99999985,-0.48852730,-4.03205000
6.01999985,-0.48852730,-4.11109700
6.03999985,-0.48852730,-4.11109700
6.05999985,-0.48852730,-4.11109700
6.07999985,-0.48852730,-4.19014500
6.09999985,-0.49640130,-4.19014500
6.11999985,-0.49640130,-4.19014500
6.13999984,-0.49640130,-4.26919300
6.15999984,-0.49640130,-4.26919300
6.17999984,-0.49640130,-4.26919300
6.19999984,-0.49640130,-4.34854800
6.21999984,-0.50427530,-4.34854800
6.23999984,-0.49640130,-4.42759600
6.25999984,-0.50427530,-4.42759600
6.27999984,-0.50427530,-4.42759600
6.29999984,-0.50427530,-4.50664400
6.31999984,-0.50427530,-4.50664400
6.33999984,-0.50427530,-4.58569100
6.35999984,-0.50427530,-4.58569100
6.37999984,-0.51214940,-4.58569100
6.39999984,-0.51214940,-4.66473900
6.41999984,-0.51214940,-4.66473900
6.43999984,-0.51214940,-4.66473900
6.45999984,-0.51214940,-4.66473900
6.47999984,-0.51214940,-4.74378700
6.49999984,-0.51214940,-4.74378700
6.51999984,-0.51214940,-4.82283500
6.53999983,-0.51214940,-4.82283500
6.55999983,-0.51214940,-4.82283500
6.57999983,-0.52002330,-4.90188200
6.59999983,-0.52002330,-4.90188200
6.61999983,-0.51214940,-4.90188200
6.63999983,-0.51214940,-4.90188200
6.65999983,-0.52002330,-4.98093000
6.67999983,-0.52002330,-4.98093000
6.69999983,-0.52002330,-4.98093000
6.71999983,-0.52002330,-4.98093000
6.73999983,-0.52002330,-5.05997800
6.75999983,-0.52002330,-5.05997800
6.77999983,-0.52792810,-5.05997800
6.79999983,-0.52792810,-5.05997800
6.81999983,-0.52792810,-5.13902600
6.83999983,-0.52792810,-5.13902600
6.85999983,-0.52792810,-5.13902600
6.87999983,-0.52792810,-5.21807300
6.89999983,-0.52792810,-5.21807300
6.91999983,-0.52792810,-5.21807300
6.93999982,-0.52792810,-5.21807300
6.95999982,-0.52792810,-5.21807300
6.97999982,-0.53580220,-5.29712100
6.99999982,-0.53580220,-5.29712100
7.01999982,-0.52792810,-5.29712100
