Frequency,Channel A,Channel B
(ms),(mV),(V)

2.93999993,173.42830000,0.76218010
2.95999993,174.05880000,0.79355310
2.97999992,174.68930000,0.82492620
2.99999992,175.33530000,0.85660680
3.01999992,175.96580000,0.88767220
3.03999992,176.61170000,0.91873770
3.05999992,177.24220000,0.94980310
3.07999992,177.90350000,0.98086860
3.09999992,178.53410000,1.01224200
3.11999992,179.19540000,1.04300000
3.13999992,179.82590000,1.07437300
3.15999992,180.48720000,1.10543800
3.17999992,181.13310000,1.13650300
3.19999992,181.76360000,1.16756900
3.21999992,182.39420000,1.19832700
3.23999992,183.00930000,1.22939200
3.25999992,183.62450000,1.26045800
3.27999992,184.25500000,1.29152300
3.29999992,184.87020000,1.32228100
3.31999992,185.48530000,1.35273100
3.33999992,186.11590000,1.38379700
3.35999992,186.74640000,1.41424700
3.37999991,187.37700000,1.44500500
3.39999991,188.02290000,1.47545500
3.41999991,188.65340000,1.50590600
3.43999991,189.28390000,1.53635600
3.45999991,189.91450000,1.56649900
3.47999991,190.54500000,1.59725600
3.49999991,191.16020000,1.62770700
3.51999991,191.79070000,1.65784900
3.53999991,192.40590000,1.68830000
3.55999991,193.03640000,1.71844200
3.57999991,193.63620000,1.74889300
3.59999991,194.26670000,1.77903500
3.61999991,194.89720000,1.80917800
3.63999991,195.52780000,1.83962800
3.65999991,196.14290000,1.86946400
3.67999991,196.75810000,1.89991400
3.69999991,197.37330000,1.92974900
3.71999991,198.00380000,1.95958400
3.73999991,198.61900000,1.98972700
3.75999991,199.24950000,2.01956200
3.77999990,199.84930000,2.04939700
3.79999990,200.46440000,2.07892500
3.81999990,201.04880000,2.10845200
3.83999990,201.64860000,2.13798000
3.85999990,202.24840000,2.16750700
3.87999990,202.83280000,2.19703500
3.89999990,203.46330000,2.22625500
3.91999990,204.04770000,2.25516700
3.93999990,204.64750000,2.28438700
3.95999990,205.24730000,2.31330000
3.97999990,205.86240000,2.34190400
3.99999990,206.46220000,2.37112500
4.01999990,207.04660000,2.39942200
4.03999990,207.64640000,2.42833400
4.05999990,208.23080000,2.45693900
4.07999990,208.81520000,2.48523600
4.09999990,209.39960000,2.51353400
4.11999990,209.96860000,2.54183100
4.13999990,210.55300000,2.56982000
4.15999989,211.10670000,2.59781000
4.17999989,211.67570000,2.62549200
4.19999989,212.24470000,2.65317400
4.21999989,212.81370000,2.68054900
4.23999989,213.38270000,2.70792300
4.25999989,213.95180000,2.73529800
4.27999989,214.50540000,2.76236500
4.29999989,215.07440000,2.78912400
4.31999989,215.61270000,2.81619100
4.33999989,216.15090000,2.84295000
4.35999989,216.68920000,2.86971000
4.37999989,217.24280000,2.89616100
4.39999989,217.79650000,2.92261300
4.41999989,218.33480000,2.94906500
4.43999989,218.87300000,2.97551700
4.45999989,219.39590000,3.00166100
4.47999989,219.91880000,3.02749800
4.49999989,220.45700000,3.05333400
4.51999989,220.97990000,3.07886300
4.53999989,221.50280000,3.10377700
4.55999988,222.02570000,3.12930600
4.57999988,222.54860000,3.15452800
4.59999988,223.05610000,3.17944100
4.61999988,223.57900000,3.20435500
4.63999988,224.07110000,3.22896100
4.65999988,224.56320000,3.25356800
4.67999988,225.05540000,3.27817400
4.69999988,225.54750000,3.30247300
4.71999988,226.07040000,3.32646400
4.73999988,226.54710000,3.35076300
4.75999988,227.05460000,3.37444600
4.77999988,227.54670000,3.39813000
4.79999988,228.03890000,3.42181300
4.81999988,228.51560000,3.44518900
4.83999988,229.00770000,3.46856500
4.85999988,229.49990000,3.49194100
4.87999988,229.97660000,3.51470200
4.89999988,230.45340000,3.53746300
4.91999988,230.91470000,3.56022400
4.93999988,231.37610000,3.58298500
4.95999987,231.83750000,3.60543800
4.97999987,232.28350000,3.62758400
4.99999987,232.72940000,3.65034500
